test_loss,test_acc,avg_latency,model_size,train_time,int8_accuracy,num_dscnn_layers,first_conv_filters,first_conv_kernel,first_conv_stride,depthwise_kernel,pointwise_filters,pooling_function,dropout_rate
0.17649702727794647,0.946794331073761,0.06789874076843262,352.7109375,1321.9377472400665,0.9462623038042033,5,64,"(10, 4)","(1, 1)","(5, 5)",96,max,0.3
0.17472657561302185,0.947858452796936,0.06869788646697998,330.5859375,1247.7073838710785,0.9461292897047087,5,32,"(10, 4)","(1, 1)","(5, 5)",96,max,0.3
0.19168689846992493,0.9477254748344421,0.06979538917541504,385.7265625,323.3104500770569,0.9447991487097632,6,64,"(8, 4)","(2, 2)","(3, 3)",96,gap,0.3
0.19722071290016174,0.9390795230865479,0.06740879535675048,144.84375,83.65703558921814,0.9390795424314977,2,64,"(10, 4)","(2, 2)","(3, 3)",96,max,0.2
0.1991446614265442,0.9377493858337402,0.07065000534057617,351.71875,1105.147038936615,0.9372173450385741,5,64,"(10, 4)","(1, 1)","(5, 5)",96,max,0.0
0.21101237833499908,0.9377493858337402,0.06734740257263183,120.8359375,66.7475974559784,0.9352221335461559,3,64,"(10, 4)","(2, 2)","(5, 5)",32,max,0.2
0.20449261367321014,0.933892011642456,0.06689477920532226,120.21875,84.75142073631287,0.9336259643522213,2,64,"(10, 4)","(2, 2)","(5, 5)",64,max,0.2
0.25502708554267883,0.9225857853889465,0.06781651973724365,150.4765625,72.73912453651428,0.9189944134078212,5,32,"(8, 4)","(2, 2)","(3, 3)",32,gap,0.2
0.323058545589447,0.8998403549194336,0.06709964752197266,125.2421875,44.56915998458862,0.9017025804735302,4,32,"(10, 4)","(2, 2)","(3, 3)",32,max,0.0
0.6398626565933228,0.8050013184547424,0.06953240394592285,86.984375,189.44696688652039,0.8019420058526204,2,64,"(8, 4)","(1, 1)","(3, 3)",32,gap,0.3
